Time, Capacity %, Current mA, Voltage mV, Temperature °C
0:00,36,782,3837,29.1
0:06,36,905,3846,29.1
0:12,36,906,3848,29.1
0:25,36,133,3841,29.0
0:31,36,622,3845,29.0
0:37,36,661,3844,29.0
0:43,36,538,3843,29.0
0:49,36,586,3841,29.0
0:55,36,530,3844,29.0
1:01,36,558,3838,29.0
1:07,36,633,3842,29.0
1:13,36,852,3853,29.0
1:20,36,889,3854,29.0
1:26,36,912,3856,29.0
1:32,36,563,3847,29.0
1:38,36,629,3842,29.0
1:44,36,590,3844,29.0
1:50,36,529,3845,29.0
1:56,36,612,3847,29.0
2:02,36,670,3841,29.0
2:08,36,584,3848,29.0
2:20,36,802,3857,29.0
2:28,36,701,3830,29.0
2:34,36,713,3852,29.0
2:40,36,753,3853,29.0
2:46,36,739,3852,29.0
2:58,36,728,3854,29.0
3:10,36,579,3851,29.0
3:16,36,565,3849,29.0
3:22,36,603,3852,29.0
3:28,37,594,3849,29.0
3:34,37,665,3855,29.0
3:40,37,576,3852,29.0
3:46,37,585,3853,29.0
3:53,37,548,3858,29.0
3:59,37,605,3849,29.0
4:05,37,570,3847,29.0
4:11,37,806,3833,29.0
4:17,37,543,3849,29.0
4:24,37,577,3852,29.0
4:30,37,255,3843,29.0
4:36,37,584,3852,29.0
4:42,37,-175,3830,29.0
4:48,37,161,3830,29.1
4:54,37,507,3845,29.1
5:00,37,597,3852,29.1
5:06,37,695,3852,29.2
5:12,37,446,3847,29.2
5:19,37,250,3840,29.2
5:26,37,534,3849,29.3
5:32,37,724,3856,29.3
5:38,37,567,3854,29.3
5:44,37,870,3862,29.3
5:51,37,884,3864,29.3
5:57,37,892,3866,29.3
6:09,37,898,3867,29.2
6:21,37,907,3868,29.2
6:27,37,885,3868,29.1
6:33,37,913,3869,29.1
6:39,37,901,3869,29.0
6:45,37,836,3866,29.0
6:51,37,880,3869,28.9
6:57,37,915,3870,28.9
7:03,37,898,3869,28.9
7:09,38,903,3870,28.8
7:15,38,897,3871,28.8
7:21,38,909,3870,28.8
7:27,38,902,3871,28.7
7:39,38,906,3872,28.7
7:45,38,885,3872,28.6
7:57,38,870,3870,28.6
8:03,38,878,3872,28.6
8:09,38,891,3873,28.5
8:15,38,907,3874,28.5
8:27,38,898,3873,28.4
8:33,38,965,3877,28.4
8:39,38,911,3875,28.4
8:51,38,371,3864,28.3
8:57,38,628,3865,28.3
9:03,38,624,3861,28.3
9:15,38,469,3860,28.3
9:21,38,906,3876,28.3
9:27,38,904,3875,28.3
9:33,38,884,3874,28.2
9:39,38,891,3875,28.2
9:45,38,894,3876,28.2
9:51,38,896,3877,28.2
9:57,38,839,3874,28.1
10:03,39,897,3877,28.1
10:09,39,880,3878,28.1
10:21,39,910,3878,28.0
10:39,39,915,3879,27.9
10:51,39,899,3880,27.9
10:57,39,895,3879,27.9
11:03,39,917,3881,27.8
11:15,39,905,3880,27.8
11:21,39,905,3881,27.8
11:27,39,912,3881,27.7
11:33,39,915,3882,27.7
11:45,39,906,3880,27.7
11:51,39,907,3882,27.6
11:57,39,849,3878,27.6
12:03,39,917,3883,27.6
12:09,39,908,3882,27.6
12:15,39,912,3884,27.5
12:21,39,906,3883,27.5
12:27,39,895,3882,27.5
12:33,39,913,3884,27.5
12:39,39,910,3885,27.5
12:45,40,902,3884,27.4
12:51,40,915,3885,27.4
12:57,40,433,3874,27.4
13:03,40,539,3867,27.4
13:09,40,734,3876,27.4
13:15,40,713,3875,27.4
13:27,40,702,3873,27.4
13:33,40,768,3879,27.4
13:39,40,511,3870,27.4
13:45,40,722,3878,27.4
14:03,40,726,3876,27.4
14:09,40,735,3879,27.4
14:15,40,679,3876,27.4
14:21,40,671,3877,27.4
14:33,40,684,3876,27.4
14:39,40,713,3877,27.4
14:45,40,698,3878,27.4
14:51,40,724,3879,27.4
14:57,40,744,3880,27.4
15:09,40,712,3878,27.4
15:15,40,698,3877,27.4
15:21,40,688,3876,27.4
15:27,40,614,3871,27.4
15:33,40,722,3881,27.4
15:39,40,729,3878,27.4
15:45,40,722,3881,27.4
15:51,40,622,3870,27.4
15:57,40,415,3881,27.4
16:09,41,635,3879,27.4
16:15,41,860,3886,27.4
16:21,41,910,3887,27.4
16:27,41,891,3888,27.5
16:33,41,907,3889,27.4
16:45,41,892,3888,27.4
16:57,41,906,3890,27.4
17:03,41,908,3891,27.4
17:09,41,912,3891,27.3
17:21,41,872,3890,27.3
17:27,41,902,3891,27.3
17:33,41,906,3892,27.3
17:39,41,886,3890,27.2
17:45,41,905,3893,27.2
18:09,41,906,3894,27.2
18:15,41,913,3894,27.1
18:33,41,754,3886,27.1
18:39,41,898,3894,27.1
18:51,42,863,3895,27.1
18:57,42,893,3895,27.0
19:03,42,832,3882,27.0
19:09,42,882,3895,27.0
19:15,42,872,3894,27.0
19:21,42,914,3896,27.0
19:39,42,907,3897,26.9
19:51,42,966,3899,26.9
19:57,42,966,3900,26.9
20:03,42,909,3898,26.9
20:15,42,956,3900,26.9
20:21,42,967,3901,26.8
20:33,42,913,3899,26.8
20:39,42,963,3902,26.8
20:45,42,786,3899,26.7
20:52,42,875,3894,26.7
20:58,42,912,3900,26.7
21:04,42,909,3899,26.7
21:10,42,911,3901,26.7
21:16,42,419,3882,26.7
21:22,42,521,3885,26.6
21:28,42,545,3882,26.7
21:34,42,479,3883,26.7
21:40,42,570,3886,26.7
21:46,43,573,3886,26.8
