Time, Capacity %, Current mA, Voltage mV, Temperature °C
0:00,32,625,3797,28.8
0:06,32,1335,3858,28.8
0:12,32,1448,3848,28.8
0:18,32,1347,3858,28.9
0:24,32,1453,3867,29.0
0:30,32,1374,3862,29.0
0:36,32,1233,3857,29.1
0:42,32,1283,3860,29.2
0:48,32,1278,3861,29.3
0:54,32,1631,3875,29.3
1:00,32,1416,3863,29.4
1:06,32,1520,3875,29.5
1:12,32,1637,3879,29.5
1:18,32,1438,3876,29.6
1:24,32,1226,3871,29.7
1:30,32,1399,3876,29.7
1:36,32,1532,3876,29.8
1:42,32,1354,3870,29.9
1:48,33,1625,3884,29.9
1:54,33,1606,3883,29.9
2:00,33,1461,3878,30.0
2:06,33,1494,3879,30.0
2:12,33,1467,3878,30.1
2:18,33,1311,3875,30.1
2:24,33,1519,3878,30.2
2:30,33,1372,3876,30.2
2:36,33,1469,3878,30.3
2:42,33,1551,3881,30.3
2:48,33,1631,3887,30.3
2:54,33,1555,3884,30.4
3:00,33,1606,3889,30.4
3:06,33,1643,3890,30.5
3:12,33,1567,3879,30.5
3:18,33,1485,3887,30.5
3:24,34,1264,3876,30.5
3:30,34,1340,3879,30.5
3:36,34,1394,3877,30.6
3:42,34,1487,3885,30.6
3:48,34,1397,3883,30.7
3:54,34,1433,3886,30.7
4:00,34,1411,3882,30.8
4:06,34,1456,3883,30.8
4:12,34,1316,3888,30.9
4:18,34,1294,3866,30.9
4:24,34,1587,3892,31.0
4:30,34,1614,3891,31.0
4:36,34,1368,3891,31.1
4:43,34,1358,3883,31.1
4:49,34,1392,3885,31.2
4:55,34,1414,3886,31.2
5:01,34,1408,3887,31.2
5:07,35,1417,3888,31.2
5:13,35,1399,3887,31.1
5:19,35,1414,3888,31.1
5:31,35,1401,3888,31.0
5:37,35,1410,3889,31.0
5:49,35,1406,3889,30.9
6:01,35,1415,3890,30.8
6:13,35,1420,3891,30.7
6:19,35,1401,3890,30.7
6:25,35,1400,3891,30.7
6:31,35,1406,3891,30.6
6:43,35,1418,3892,30.5
6:49,36,1413,3892,30.5
6:55,36,1412,3893,30.5
7:07,36,1409,3893,30.4
7:14,36,941,3872,30.4
7:20,36,1055,3881,30.4
7:26,36,1173,3883,30.4
7:32,36,1193,3887,30.4
7:44,36,1200,3886,30.4
7:50,36,1183,3885,30.4
7:56,36,1169,3886,30.4
8:02,36,1191,3887,30.4
8:08,36,1218,3888,30.4
8:14,36,1211,3887,30.4
8:20,36,1200,3885,30.4
8:32,36,1190,3887,30.4
8:38,36,1176,3884,30.4
8:50,36,1183,3887,30.4
8:56,37,1175,3886,30.4
9:02,37,1171,3887,30.4
9:08,37,1175,3887,30.5
9:14,37,1027,3888,30.5
9:21,37,1091,3894,30.5
9:27,37,1416,3896,30.5
9:39,37,1402,3897,30.5
9:51,37,1415,3898,30.5
9:57,37,1411,3899,30.5
10:27,37,1404,3900,30.5
10:33,37,1414,3901,30.5
10:45,38,1406,3901,30.5
10:51,38,1416,3902,30.4
11:16,38,613,3882,30.4
11:22,38,1063,3888,30.4
11:28,38,888,3883,30.4
11:34,38,834,3874,30.4
11:40,38,901,3883,30.4
11:46,38,797,3885,30.5
11:52,38,1016,3886,30.5
11:58,38,841,3880,30.6
12:04,38,946,3885,30.7
12:10,38,1168,3890,30.7
